Date,Close,wsize_5,wsize_6,wsize_7,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14
2009-07-10,18.425,40,33.333,42.857,50,44.444,50,54.545,58.333,53.846,50
2009-07-13,18.934,60,50,42.857,50,55.556,50,54.545,58.333,61.538,57.143
2009-07-14,18.924,60,50,42.857,37.5,44.444,50,45.455,50,53.846,57.143
2009-07-15,19.537,60,66.667,57.143,50,44.444,50,54.545,50,53.846,57.143
2009-07-16,19.623,80,66.667,71.429,62.5,55.556,50,54.545,58.333,53.846,57.143
2009-07-17,20.185,80,83.333,71.429,75,66.667,60,54.545,58.333,61.538,57.143
2009-07-20,20.34,80,83.333,85.714,75,77.778,70,63.636,58.333,61.538,64.286
2009-07-21,20.153,80,66.667,71.429,75,66.667,70,63.636,58.333,53.846,57.143
2009-07-22,20.849,80,83.333,71.429,75,77.778,70,72.727,66.667,61.538,57.143
2009-07-23,20.993,80,83.333,85.714,75,77.778,80,72.727,75,69.231,64.286
2009-07-24,21.281,80,83.333,85.714,87.5,77.778,80,81.818,75,76.923,71.429
2009-07-27,21.296,80,83.333,85.714,87.5,88.889,80,81.818,83.333,76.923,78.571
2009-07-28,21.283,80,66.667,71.429,75,77.778,80,72.727,75,76.923,71.429
2009-07-29,21.287,80,83.333,71.429,75,77.778,80,81.818,75,76.923,78.571
2009-07-30,21.654,80,83.333,85.714,75,77.778,80,81.818,83.333,76.923,78.571
2009-07-31,21.734,80,83.333,85.714,87.5,77.778,80,81.818,83.333,84.615,78.571
2009-08-03,22.138,80,83.333,85.714,87.5,88.889,80,81.818,83.333,84.615,85.714
2009-08-04,22.021,80,66.667,71.429,75,77.778,80,72.727,75,76.923,78.571
2009-08-05,21.962,60,66.667,57.143,62.5,66.667,70,72.727,66.667,69.231,71.429
2009-08-06,21.803,40,50,57.143,50,55.556,60,63.636,66.667,61.538,64.286
2009-08-07,22.016,40,50,57.143,62.5,55.556,60,63.636,66.667,69.231,64.286
2009-08-10,21.91,20,33.333,42.857,50,55.556,50,54.545,58.333,61.538,64.286
2009-08-11,21.659,20,16.667,28.571,37.5,44.444,50,45.455,50,53.846,57.143
2009-08-12,21.989,40,33.333,28.571,37.5,44.444,50,54.545,50,53.846,57.143
2009-08-13,22.403,60,50,42.857,37.5,44.444,50,54.545,58.333,53.846,57.143
2009-08-14,22.184,40,50,42.857,37.5,33.333,40,45.455,50,53.846,50
2009-08-17,21.228,40,33.333,42.857,37.5,33.333,30,36.364,41.667,46.154,50
2009-08-18,21.815,60,50,42.857,50,44.444,40,36.364,41.667,46.154,50
2009-08-19,21.894,60,66.667,57.143,50,55.556,50,45.455,41.667,46.154,50
2009-08-20,22.125,60,66.667,71.429,62.5,55.556,60,54.545,50,46.154,50
2009-08-21,22.509,80,66.667,71.429,75,66.667,60,63.636,58.333,53.846,50
2009-08-24,22.488,80,66.667,57.143,62.5,66.667,60,54.545,58.333,53.846,50
2009-08-25,22.533,80,83.333,71.429,62.5,66.667,70,63.636,58.333,61.538,57.143
2009-08-26,22.268,60,66.667,71.429,62.5,55.556,60,63.636,58.333,53.846,57.143
2009-08-27,22.54,60,66.667,71.429,75,66.667,60,63.636,66.667,61.538,57.143
2009-08-28,22.619,60,66.667,71.429,75,77.778,70,63.636,66.667,69.231,64.286
2009-08-31,22.375,60,50,57.143,62.5,66.667,70,63.636,58.333,61.538,64.286
2009-09-01,21.988,40,50,42.857,50,55.556,60,63.636,58.333,53.846,57.143
